index,feature1,feature2,feature3
0,6.180054646,-3.453491258,-0.498865474
1,-0.1246018,0.043157017,-0.28456897
2,2.981014931,-1.50157225,-1.076784096
3,-2.665692504,0.253723845,-1.202599661
4,3.138157191,-2.048602995,-1.285505823
5,3.347842811,-1.682498828,-1.548558686
6,1.293124966,-2.185973573,-0.199984855
7,0.292787196,-0.657044277,-0.672157698
8,-2.269951342,-0.408328078,-0.977904188
9,-3.134509029,1.846947217,0.789547373
10,0.876713611,-1.973146307,-0.139617243
11,-4.927109745,-0.357341073,0.287626553
12,-3.000245212,-0.702596061,-0.010172682
13,-3.995001935,-0.931062325,0.150450837
14,-5.942105076,-0.040916157,0.150293543
15,-5.699371337,-0.317447245,-0.125003993
16,-5.917410026,0.332752238,-0.064278032
17,-5.948638318,-0.15468932,-0.021854025
18,-4.771266679,-0.374877142,0.065064081
19,-4.712018949,0.32940068,-0.353209317
20,-4.756062967,-0.499223961,0.095999461
21,-5.276071237,-0.286713456,-0.039125414
22,-4.257226054,-0.430480941,0.345901526
23,-0.322403071,-2.055090222,-0.593867453
24,-0.350689103,7.921492933,-1.22115821
25,-4.076800521,0.484095012,0.650670962
26,-5.070851101,0.522603088,0.184381739
27,-2.060519701,-1.096633436,0.958161009
28,-4.101592915,-0.427614776,0.904894586
29,-3.175878084,-1.214218157,0.48573832
30,-4.071121076,-0.265502337,0.146733778
31,-0.88253169,-2.013454118,0.189890032
32,-2.72054894,-1.465899757,0.460889571
33,-3.667651203,-1.100989635,0.65873376
34,0.852206976,-2.764546039,0.219500352
35,-6.467552324,0.255475041,-0.050357092
36,-4.516337891,-0.839767526,0.158441284
37,-3.471835338,-0.366506915,1.389888522
38,-2.75736287,-0.554855079,0.406543128
39,-3.520319459,-0.640844287,0.3004507
40,-3.324226301,-0.500767465,0.983254807
41,0.841591155,9.091799523,0.004785503
42,6.086473717,5.736063261,0.279925182
43,-3.109234893,0.311565874,0.425682301
44,-3.650753233,-0.323361293,0.881117667
45,-0.114679117,9.67874564,-0.460403798
46,-3.54867454,-0.300277288,0.873506881
47,-0.766186395,-1.772832763,0.837232847
48,-2.14442598,-1.706387712,0.157939273
49,-2.439049027,-1.50319907,0.111259778
50,-3.896596146,-0.999941489,0.05072264
51,-2.196988991,-1.244011913,0.019170249
52,2.490913883,-1.762810992,-2.142499865
53,-3.067325312,-0.888875343,0.246462964
54,1.804535063,0.279507961,-1.766571724
55,-1.37796564,0.085026913,-2.309748963
56,4.389076682,-0.763572158,-2.489385534
57,-4.346165559,0.12935705,-0.298610302
58,-2.637323836,-1.216493011,0.050601433
59,-0.893850849,-1.849533903,0.357122515
60,4.12640135,-1.985104716,-0.838281887
61,-4.03676086,0.096620999,-0.18028559
62,5.090849533,6.526380604,-0.737949812
63,2.409664216,8.936544999,-2.63540956
64,-0.350024318,-0.859248705,-0.546716429
65,1.758317573,-1.627145055,-1.403174284
66,0.118004606,8.571459959,-2.311651077
67,-0.840002566,-0.455762462,-0.851403797
68,5.883646971,15.61095899,-5.44037345
69,1.300643431,-0.917912468,-0.816954349
70,0.508553159,0.084795543,-1.185897154
71,0.828299511,7.893181687,-1.912623616
72,0.211671052,1.352537772,1.530416481
73,5.068123795,-2.338522204,1.194354518
74,5.937418428,7.517503738,-1.097076965
75,2.404395102,9.043836025,-2.436762527
76,-2.745357973,0.72279373,-0.739318552
77,5.553866281,-3.068515683,-0.527998512
78,-0.062904168,9.979548324,-3.166950385
79,2.175417466,-0.634332097,-0.054545873
80,4.95661694,9.43317606,-1.474730658
81,3.20155434,-2.491700275,-2.840937815
82,-0.457621751,8.893625229,-1.926295906
83,5.156093311,7.699027458,-2.998304196
84,2.92814502,-1.899587631,-0.592580869
85,-1.874678585,1.320086267,-1.29572805
86,1.412665645,-0.832361572,-0.769078112
87,1.450898502,8.051230855,-2.50696684
88,-3.935745127,0.261857356,-0.27436267
89,-0.213992405,-0.162093109,-1.032839298
90,-2.941089632,1.672110156,-1.140327408
91,3.822046627,6.956377256,-2.292515131
92,7.019169566,8.241551684,-2.122578874
93,2.88435767,-2.592569051,-0.491266713
94,4.577423178,-1.636291223,-0.254631038
95,0.517973969,-0.390480537,-0.00226773
96,0.858185856,7.125394298,-2.488967469
97,0.866190198,-1.197362428,-1.013932985
98,4.678957397,-1.617700349,-0.785171736
99,-2.248595391,0.434596687,0.182492371
100,4.861389259,8.785810433,-4.242807871
101,2.503885453,-0.972880752,-1.83494406
102,3.846246693,-2.142738633,-0.420866834
103,0.64660116,-0.256804472,0.372739699
104,6.819332908,7.117218778,-2.941054308
105,0.074506813,0.567237099,-0.788908795
106,2.964071395,9.519083694,-1.314209997
107,2.616503403,-1.390169129,-0.013613091
108,2.637101355,-1.737165106,-0.701266606
109,-1.841290172,0.261139292,-1.617141555
110,5.675329446,9.089812586,-2.629014373
111,-1.21107352,-0.939644994,-0.548798973
112,-4.381524278,0.82591668,-0.736823694
113,-2.517251458,-0.099472057,-0.635436758
114,-1.02319665,-1.985267589,-0.261156743
115,1.320704338,-0.582096565,-0.059575337
116,-2.362566642,-0.931051058,-0.574921925
117,2.053403616,-1.752204459,-0.007748315
118,0.548147063,-1.480825718,0.413206879
119,2.348664372,-0.51620868,0.214497896
120,5.319055686,7.098947166,-1.53235331
121,-0.681948572,-0.014663167,-1.475970598
122,3.612364071,-1.827774022,0.64520759
123,-1.376204647,-0.492739135,-0.580816302
124,6.887029242,7.865216337,-2.388032204
125,-2.61244943,-0.400965804,-0.310179503
126,0.511074981,-0.390104574,-0.681730183
127,4.354953622,-1.308114544,-1.915816236
128,0.227233879,10.06837822,2.924508444
129,-0.285038143,-0.56946007,-0.841871692
130,-0.62197001,-0.383539738,-1.37935922
131,4.921311791,-3.071435315,-0.444877793
132,3.638099264,-2.478073789,0.144700162
133,-1.861895135,-0.645209983,-1.369675022
134,-2.817824317,0.877139109,-0.819106049
135,-0.771269684,-0.090023271,-1.22711795
136,-2.523939446,0.821592725,-0.026944111
137,-0.44612845,-0.397609677,-1.709493139
138,0.721831065,-0.523479744,-1.328648288
139,6.430228829,-3.224961562,-1.099807109
140,1.992511473,7.139117683,-2.087077498
141,6.939983842,-3.489503954,0.328340452
142,-0.598979135,-0.138294577,0.010174738
143,-3.142717775,-0.257394501,-0.212841216
144,3.591367202,-1.528783141,1.172336617
145,1.707859305,-1.124654212,-0.998380094
146,3.895265613,-2.321362123,-0.79449023
147,-0.679246655,0.490389171,0.210606932
148,5.667217116,7.471174771,-3.075118997
149,7.228506283,7.760386243,2.720364537
150,-1.43730946,-1.202258931,-1.285374152
151,0.245445878,-1.462325541,0.748635557
152,3.677466649,-0.172629561,0.011189505
153,5.729411232,-3.49938564,-0.347529593
154,2.65912324,-1.693652201,-1.629696212
155,1.668065473,-0.735799312,-0.278564806
156,-1.044967756,-1.729018194,-0.389529249
157,2.391983323,-2.650974551,-0.639624479
158,5.246983262,-3.613006298,-0.165097233
159,0.226547081,0.102185336,-0.839995005
160,5.462852154,-1.808852954,-0.257543288
161,-1.987339309,-0.865253334,-0.747081102
162,1.593604813,-1.333825474,-1.907139206
163,-2.210423989,-1.079781835,-0.354860739
164,4.382506893,0.621859951,0.768985519
165,5.759119035,8.14572909,-3.388523127
166,5.521172464,-3.203902789,-0.749671363
167,-1.807337481,0.325895122,-1.100501054
168,-1.52856191,8.147906116,-2.712562147
169,2.932508462,-1.578850262,0.488640456
170,-0.675826072,-1.226388313,-0.082585403
171,5.932463978,-2.071263008,-0.128261668
172,-2.866327661,0.191255682,-0.070958331
173,3.585542867,7.134956939,-2.369662074
174,-2.106861611,0.448966648,-1.164785438
175,-3.847040369,-0.004565318,-1.150184668
176,-0.853681173,9.165161537,-2.916917407
177,5.623209092,0.087115852,-0.797329419
178,-3.724465177,0.476917094,-1.029068696
179,-2.384066306,0.437451602,-1.818552594
180,6.519955421,1.214056062,-1.088304511
181,7.642828658,9.699161154,-4.610409425
182,0.781621289,-0.37270736,-0.268603784
183,7.002551299,-1.408302312,-1.913644628
184,5.48820118,7.881080369,-2.350262108
185,-0.863010989,-0.601438253,-1.023602156
186,3.354314573,9.274003746,-2.295228174
187,0.098053341,8.584544857,-2.345930159
188,0.278060213,9.629248745,-2.225779355
189,1.272300159,-1.436930972,-1.085017304
