index,feature4,feature5,feature6
0,4.532215339,2.100217405,-2.088839255
1,-0.932418084,1.474213103,2.353882782
2,2.198178321,0.23627841,-1.956718501
3,-1.501332713,0.568134369,-0.15647019
4,2.887347952,-1.422660758,2.353933519
5,2.754039249,1.809366558,2.269631669
6,2.456027386,0.117204373,0.776335975
7,-0.081040975,0.856985395,1.866967726
8,-0.030636632,-0.840230736,-0.638210741
9,-1.565141032,-0.558081747,-0.085150728
10,0.688079886,-0.221108348,0.890299528
11,-2.707194424,-0.224787901,0.65146559
12,-0.552290465,0.469243606,0.152771486
13,-1.419812999,-0.590761631,0.206633417
14,-1.90834773,-0.216722164,-0.284888594
15,-1.965204549,-0.195124797,0.042461317
16,-2.947505168,-0.270420754,-0.022679355
17,-1.819986931,-0.990383209,-0.631993643
18,-1.794243015,-0.304068527,-2.926533215
19,-1.837526271,0.004239011,0.376562524
20,-1.894129394,-1.160910537,-0.651437214
21,-2.006319911,-0.089498714,0.049154856
22,-2.108644485,-0.388555106,0.010415001
23,0.41884199,-1.0419688,0.309663115
24,-1.636064297,0.330703289,1.284263808
25,-2.16001482,0.879897101,0.612660662
26,-1.945694263,-0.598609284,-0.333483622
27,-0.255223474,-0.124172584,1.444299252
28,-1.084826332,-0.457865829,0.185729812
29,-0.210212321,-1.35866909,-0.979048619
30,-2.180470658,0.071468527,1.376282587
31,1.232956572,-0.012146975,-2.326284316
32,-1.220955708,-0.78504035,0.383025016
33,-0.076457152,-1.699656875,-2.935507601
34,1.778511696,0.634700566,1.312065332
35,-2.089182619,-0.760942125,-0.833192135
36,-1.374930352,-0.543507287,-0.195909968
37,-1.013171803,-1.028780829,-0.095467426
38,-1.485611017,1.311472685,0.757810811
39,-0.72036158,0.148842317,0.566386697
40,-1.270658016,2.086952537,-1.173979384
41,-1.505998667,0.236760867,1.372913433
42,1.227298316,1.590163616,2.288480408
43,-1.721917634,0.617419923,1.247301848
44,-1.199515485,0.463281969,0.910619952
45,-1.992345018,-0.184437154,0.525855655
46,-1.03121648,-0.10150603,0.031003853
47,-0.579501108,-0.186013841,-1.240432421
48,-0.212400809,-1.100633008,-0.668274298
49,-0.4910969,-0.867842354,0.267864172
50,-1.473278818,-0.71579861,0.080669904
51,-1.239503403,-1.094740117,-0.097410877
52,2.111761121,-0.653366271,1.34457768
53,-1.624650627,-0.756250709,0.376849491
54,-0.349873287,2.183079433,2.734768944
55,0.54983224,0.284294258,3.476001035
56,2.075019672,0.354470483,3.737679144
57,-0.849792351,-0.543688645,-3.376849505
58,-0.051787568,0.018867605,0.806923126
59,0.789908125,-0.703606169,0.437912963
60,2.295874804,-0.214425234,-0.288739603
61,-1.266283136,-0.778267298,-0.044163869
62,2.088512817,-1.861564868,-0.784919583
63,-2.159750732,3.309130321,-0.89903288
64,-0.183552655,-0.035804369,0.883390985
65,1.310302654,0.428329702,2.500482046
66,-1.947241388,2.553707079,-0.557844596
67,0.168588369,2.718461701,-0.134499623
68,-0.835174132,-0.521475859,0.042610155
69,-1.243436375,-0.04833897,1.077891119
70,-0.145614181,3.143760733,-0.522181422
71,-1.9092417,-0.204173545,1.130306416
72,-0.233331449,-0.607453542,0.442486079
73,3.173426449,-1.691896997,-1.184885274
74,-0.385816839,0.568920931,2.26084724
75,-1.496606202,2.488398394,-0.675059859
76,-1.229501448,-0.420657534,0.622342823
77,4.405351013,-0.57047294,2.240352473
78,-2.325709355,0.137912069,1.779796858
79,1.230799965,1.034830688,1.906392128
80,0.604503732,-2.127394012,0.99536495
81,2.416118569,0.62534667,2.103257758
82,-1.978518635,-0.291280901,0.078814117
83,0.779679676,0.023297077,-1.694690779
84,3.200672574,-1.101871034,0.406541783
85,-2.771303833,-0.905879545,0.896063851
86,0.133889294,-0.571277312,0.611720517
87,-1.072600868,-0.192611956,0.248083065
88,-1.805510568,-0.237360856,-2.680759437
89,-0.369332499,-1.663268324,0.611430464
90,-2.536076838,0.223251622,0.925066287
91,0.243757848,-2.486328286,0.560027861
92,1.333497947,-0.483770046,1.051006618
93,1.304817269,-0.648163392,0.445722585
94,2.461526295,-1.612476481,-0.939637788
95,0.28934145,0.228169081,1.342736032
96,-0.222933163,0.653760718,1.443026282
97,0.788838535,-2.105269743,-1.181537328
98,1.604445098,-0.188612827,1.563558176
99,-1.946071905,0.244553992,0.823001771
100,0.00846703,0.106630984,1.696394474
101,1.63099587,-1.240946388,0.425918507
102,2.930499485,-0.746162729,1.272187838
103,0.294497679,0.664708926,0.101355932
104,2.660926613,-0.810468037,0.561285481
105,0.284940128,-1.228426072,-0.01488484
106,-2.117116667,0.477063425,2.084875883
107,0.47724137,0.670222444,1.67338528
108,1.897135482,0.644482759,1.401315454
109,-1.46122127,-0.15412264,1.161123292
110,0.150893227,-0.7670832,1.058680735
111,-0.405117414,0.008289104,0.500531126
112,-1.009430493,-1.216053416,-0.711500436
113,-0.462770548,0.196888942,1.0052285
114,1.417907587,-0.3156096,0.977223586
115,0.288826895,2.865681656,-0.953946675
116,-0.130164425,0.175975161,0.939083917
117,0.226908058,-0.180904268,2.746105716
118,1.984586464,3.300587469,-0.419211721
119,1.25111432,2.337597548,-0.608087716
120,-0.995340899,3.838163725,0.668095938
121,0.073939326,0.402641735,2.305517486
122,2.288368274,4.774113425,0.727304966
123,-0.447915562,-1.312414754,-0.006475139
124,0.596949971,4.221587194,1.097318167
125,-0.490280318,0.562256697,1.370488641
126,-1.530569325,0.514867779,2.177869488
127,2.691569151,-1.943887535,2.496961283
128,-1.972321775,0.048090774,1.604269876
129,0.23493873,-1.578199282,0.369453621
130,-0.367413496,-0.710691616,1.697349687
131,1.412209424,0.480728549,2.395755364
132,4.083794044,-0.965706249,-2.900456808
133,-0.7001658,-0.977102864,2.607132131
134,-1.975007019,0.01717975,1.337353268
135,-1.260383966,-0.13588987,0.683384488
136,-0.938485144,-0.593854766,-0.05400856
137,0.971362443,-2.794948342,0.86069008
138,0.651288649,-0.579171847,1.53545263
139,3.123361561,1.882174601,2.475588774
140,0.828523465,1.004324841,-1.436913616
141,3.53047648,0.377448375,1.580475548
142,0.272150048,-0.773598028,-0.473522139
143,-2.596254929,0.190908036,1.174297699
144,1.432622882,-0.132101187,0.147874276
145,0.540950273,0.019297733,0.716816949
146,3.36819828,-0.242206923,2.312811298
147,0.690421093,0.913722333,0.513034466
148,-0.735618672,0.872262177,1.82157094
149,1.185328996,2.633458173,-0.177151541
150,0.539718226,-0.835534531,0.932991646
151,1.262357546,-1.136631919,1.61669053
152,2.246355853,-1.979104409,0.067033153
153,3.614749364,1.001642274,0.939579405
154,1.917796045,-1.892141898,0.221289797
155,1.541106151,-0.267590837,5.227094204
156,1.14577719,-0.389136715,-0.099861987
157,1.305477152,0.130622266,1.579233956
158,4.714042526,0.202763303,-2.83577498
159,-1.541018747,1.234699247,1.542082313
160,1.783731751,0.642652866,2.035447336
161,-0.697255661,0.667512739,1.226895336
162,0.476146429,-0.794627557,0.125100507
163,0.103218239,-1.376017511,-0.1953979
164,-0.054819262,3.806382352,-0.509619219
165,1.700905013,-0.439899533,-0.785593439
166,4.405923787,-0.436609216,0.75526713
167,-0.375347058,0.096228644,1.35237706
168,-2.167240499,0.227879898,0.901881645
169,1.138480646,0.430220326,0.712611712
170,-0.802346468,-0.342712215,0.66109403
171,2.117804575,0.273587083,3.367729762
172,-1.244501206,0.121741366,0.955204884
173,-0.919756545,0.275920749,0.9475213
174,-0.46330636,-0.888346294,0.555763809
175,-1.174563646,-0.566027644,0.186304474
176,-2.727909899,-0.116131192,0.833706633
177,2.955442268,0.628057642,2.779611981
178,-2.428136242,-0.009364349,0.755845134
179,-1.741358476,0.122451611,1.628013885
180,2.079677678,3.567649749,0.395854046
181,0.957617702,4.547241965,1.785543281
182,-0.681249043,-0.196956082,0.695304987
183,2.532969154,1.556824179,3.006209366
184,0.774649313,-1.597409928,0.586935819
185,-0.510230802,-0.159216987,1.136476799
186,0.989071762,1.808484439,-1.209639209
187,-2.330619073,2.801806007,-0.160054951
188,-1.262725607,3.161358656,-0.478672592
189,0.507466342,0.186701606,1.090125976
190,-1.813278206,3.174792016,0.097801014
191,1.558272086,-0.332248973,-0.040730775
192,0.310810553,-0.180518343,1.009048341
193,2.043219373,-0.057340851,0.732783158
194,0.679762171,-0.624030423,1.21312044
195,2.57857651,0.583130682,1.937870273
196,-0.421067688,3.843955774,0.075552207
197,-2.054713314,-0.010634783,0.651052787
198,1.932196612,1.185320415,2.926448767
199,-1.122974238,-0.194327369,0.039094208
200,2.307365831,-1.095911271,-3.222252443
201,2.432428272,-0.962577721,-0.991976917
202,-1.00919742,-1.222123271,0.310759839
203,0.414745589,-0.271928959,0.748739794
204,2.263182762,-0.579155654,1.036158621
205,-0.572627023,2.760833597,0.799016765
206,1.661725237,-1.337157692,0.303141273
207,-0.739663699,0.541356452,1.907876951
208,-1.019498728,-0.827598004,0.030589721
209,-0.707883405,-0.409277548,0.68484768
210,2.170747619,-1.365904217,0.883914996
211,-1.080547687,0.232623164,1.582434965
212,3.780831786,-1.045756228,0.3945311
213,-0.478680705,0.725808574,2.696738909
214,0.968386503,1.73188043,3.539033899
215,0.294694472,0.052300122,2.419618013
216,1.596582436,3.300353007,-2.488298046
217,0.115029244,-1.290456115,-0.470286938
218,3.288895766,-1.174593466,1.799227282
219,1.852660956,-0.247856107,-0.184975026
220,-1.643526553,2.500557658,-0.755845388
221,2.873152007,1.47452109,-0.676369543
222,2.726243723,-0.808907212,0.037324356
223,-1.770655352,-0.671831886,0.111437246
224,0.305270951,-1.411578175,-0.245126969
225,-2.727006664,0.098882951,0.787809494
226,0.01890118,0.547232491,2.243133118
227,1.750868116,-0.412164755,0.974542175
228,1.307645869,1.446358337,2.839392814
229,4.228851527,-1.740294108,-1.664663301
230,0.525497176,0.530832164,2.133131465
231,0.12301315,0.00492877,0.935851359
232,-0.442726383,0.540609895,1.322748757
233,0.030060006,-0.719646652,0.573455199
234,0.063557849,-0.63753921,0.545174894
235,1.995050388,0.979887179,2.609777595
236,2.675103275,-1.101245077,0.38671859
237,1.03750291,0.181844802,1.853035201
238,-1.086200469,-0.721739546,1.801839504
239,-2.285632432,0.001663261,0.610354479
240,-0.038398395,2.787363696,-0.16953958
241,1.163465226,2.206411712,-0.086690989
242,0.345476879,0.317663153,1.248872817
243,-2.178936018,2.538666576,-0.448451195
244,0.287204647,-1.5818641,-0.570995557
245,-1.595620702,-0.086596566,0.451281306
246,2.208998695,-0.52249111,-0.323838591
247,-1.90506423,2.765640174,0.546984182
248,-0.423394428,2.708444578,0.720181727
249,-2.026963102,-0.456836027,0.306486654
250,0.480347615,-0.593323978,0.235687927
251,0.108903864,0.201336598,1.838798458
252,3.154418031,-0.010092095,1.273891694
253,-0.192801499,1.348198099,3.566743171
254,0.334760178,0.609019231,1.855355596
255,2.08313891,-0.684204441,-0.235586357
256,-0.132395837,-0.235978689,1.229314728
257,-2.717826679,0.032060764,0.473521336
258,2.381687223,-0.346878491,1.567696267
259,-1.120082386,1.493281323,-1.506693314
260,-2.335130864,-1.068061674,0.676546772
261,1.121882477,1.673087467,2.010305671
262,2.467262476,-1.27363959,1.182470772
263,0.332711587,1.679923304,5.289663237
264,-1.555730121,1.034773337,1.782750428
265,0.700299146,-0.164964073,1.044104032
266,-1.434948397,0.374775482,1.99397006
267,-0.345823262,-1.055623142,-0.423567309
268,0.753866059,-0.58639234,-0.352105024
269,0.258630232,3.193320274,-0.432664557
270,-0.777271597,-0.22419043,0.791062591
271,-2.31697541,-0.449429903,-0.100081161
272,-1.723486288,1.025633262,2.307451674
273,-1.145527146,-0.034109179,0.415464378
274,0.376875615,2.950032562,-0.892353291
275,2.471970735,-0.462617145,1.578870849
276,1.933682009,-0.814237427,-0.614762358
277,0.272088771,-0.790916914,0.399339973
278,-0.831981474,0.248020273,2.388594067
279,2.36793425,-1.132601794,0.163480277
280,1.153204383,-0.886733105,0.404007276
281,-2.021003926,-0.131077877,0.571480874
282,1.100428459,-0.708809318,1.914238475
283,0.649101378,3.93366614,-0.1358254
284,-0.171445018,0.313109766,2.418381733
285,-2.596254929,0.190908036,1.174297699
286,2.626472729,-1.7831322,-1.132596321
287,-0.134259984,0.129350342,2.258364797
288,1.745098738,0.951937569,2.838984133
289,2.912785254,-0.753043737,0.818392073
290,-0.85955138,-0.930509738,0.82008873
291,3.511576166,-0.083850957,2.430840675
292,2.174711028,-1.749860386,-0.695952873
293,2.26294111,1.42828052,2.673424098
294,2.697091023,-0.962734665,0.949803813
295,-0.135733164,-1.260494564,-0.354183047
296,0.802769723,-0.297341161,0.640092232
297,-0.531445759,0.142314624,0.920469056
298,-1.290254184,0.013193046,1.021364676
299,-0.495593725,1.183314592,2.635016616
300,4.418637017,-1.608879472,-1.321301804
301,0.369674987,-0.916955244,-0.589296439
302,-1.509198507,0.34204342,1.07032824
303,1.125065004,0.132171948,0.568805936
304,-1.108198687,-0.329478893,0.298945705
305,-1.764963126,-0.606705963,-0.146832788
306,2.097380953,0.924059337,-2.71385346
307,-0.933240132,0.132064851,1.042987634
308,-2.038768882,0.954036925,0.278634874
309,1.809955751,-1.279043894,0.678445803
310,1.788666268,-1.347330078,0.285564568
311,-1.637804345,0.42747584,2.62002075
312,0.032308389,-1.258891825,-2.326819385
313,-1.420297968,3.268990615,0.243802078
314,0.951276503,-1.159223302,0.453102579
315,1.008462826,-2.491538623,0.689376774
316,-1.961404813,0.72451714,1.193232033
317,-0.729146686,-0.783762018,0.236283101
318,3.747267926,0.788824531,-1.137738745
319,2.198844056,-1.130317097,-0.087527254
320,4.04123749,0.515860529,2.182156142
321,0.650127337,2.34329629,0.130712372
322,-0.68769331,-0.438397967,0.688047447
323,-1.084067033,2.957115128,0.355021648
324,0.09044038,-1.100583445,-0.15591427
325,-0.275366078,-0.561987138,0.613285708
326,-1.1946799,-0.557157054,1.037041742
327,0.671208896,-0.252051091,0.456424414
328,2.168305574,-0.778351318,0.216381461
329,0.858212613,3.818143787,0.140715699
330,0.71456715,0.100141261,0.810831439
331,0.305203758,2.502139991,-1.140859572
332,0.757106778,-0.169438702,2.951177763
333,3.821540736,1.76600783,0.154779304
334,-1.750038608,0.173647929,1.663347334
335,-2.825030182,0.103440661,0.632199869
336,-1.245621882,3.546148976,-3.733092033
337,0.031959989,-0.614207989,-0.354426314
338,2.606007054,-0.319654504,1.864462734
339,4.567450841,-2.257338899,-2.338050271
340,5.302914725,-1.436401281,-3.893767658
341,-2.46561587,3.365019788,-0.15180001
342,-2.101233635,0.310022409,0.775798928
343,-1.424435395,1.746490666,-0.956839115
