index,feature7,feature8,feature9
0,-0.157706641,-0.779351201,-0.826643175
1,-0.148801661,-0.433572611,1.518007672
2,-0.215287086,-0.102518106,0.069343961
3,0.712759793,-0.805363041,-0.030391407
4,-0.188171623,-0.345798599,-0.206788637
5,-0.190373319,0.649804688,1.013953214
6,-0.211011765,-0.339930214,0.894292798
7,-0.066298564,3.92784613,-0.513200599
8,-0.101907687,-0.400483173,0.324827057
9,-0.139043771,-0.457703756,0.516871157
10,-0.221292949,-0.603914374,-1.167018232
11,-0.133289949,-0.278275508,1.696478655
12,-0.119274846,-0.375882704,0.630817119
13,-0.159935604,-0.637025381,-0.059180283
14,-0.133289949,-0.278275508,1.696478655
15,-0.109434044,-0.142889899,1.155828338
16,-0.133289949,-0.278275508,1.696478655
17,-0.098695927,-0.066232887,0.787610644
18,-0.11367977,-0.120771377,1.132439768
19,-0.093223735,-1.092594725,-0.508477726
20,-0.159248745,-0.282584923,2.272733208
21,-0.174415718,-0.625016952,1.299718802
22,-0.123690555,-0.124641157,0.042889479
23,-0.131222552,0.28288099,1.098567638
24,-0.170796316,0.685855211,1.480886429
25,-0.053256714,0.66958816,0.790745252
26,-0.13360514,0.005899643,0.389779855
27,-0.017819267,0.342668359,-1.369876959
28,-0.131254612,-0.338937256,1.630582093
29,-0.080001123,-0.23542806,1.95818193
30,0.105756744,-0.625131789,0.064711757
31,0.029123493,-0.23718323,0.764324002
32,-0.139973926,-0.061148302,1.384747724
33,0.012156323,0.608973271,0.902934122
34,-0.138979497,-0.747654448,0.006556137
35,-0.132487294,-0.341171086,1.230619977
36,-0.152442719,0.019913506,1.915478779
37,-0.06330126,-0.876011319,1.626405489
38,-0.153324057,-0.391592451,0.13485636
39,-0.177552032,-0.45128164,0.856284946
40,-0.02436047,-0.092106647,-0.861572365
41,-0.167362892,0.257943709,-0.812091842
42,-0.078910477,-0.18992337,0.545328289
43,-0.118334183,0.470573963,0.771029353
44,-0.086663593,-0.512818514,-0.052860853
45,0.04133975,0.107066213,-0.870809726
46,-0.038317405,-0.346575522,-0.730642017
47,-0.085466486,-0.669524004,0.552565774
48,-0.112429084,0.004567924,-0.999009929
49,-0.213071951,-0.134212958,2.761179452
50,-0.167615666,-0.180245846,2.081062088
51,-0.199820227,0.36787871,2.542556898
52,-0.236143232,3.603518788,-0.77091196
53,0.384057721,-0.591682081,0.240681932
54,-0.116094706,1.310274803,0.540035649
55,-0.163299838,1.133613679,0.966513141
56,-0.125892211,1.338430507,0.67280045
57,-0.143302134,-0.1716929,0.850722451
58,-0.160749445,-1.151524466,-0.79559989
59,-0.155255169,-0.470870545,2.568726521
60,-0.014671612,-0.786655135,-1.549929202
61,-0.108350338,-0.480863987,0.055461871
62,0.022859611,0.234519075,-0.839375624
63,0.310014617,0.116973905,-0.859224146
64,-0.17579445,0.082865826,0.449920181
65,-0.191410424,1.93323302,1.590273919
66,0.170075276,-0.325825317,-1.569673353
67,-0.063018281,0.305049107,-0.55823915
68,-0.109703406,-0.93236442,-0.686419751
69,-0.025163339,-1.030980648,0.012300042
70,-0.207064013,-0.34567378,-0.56217811
71,-0.051444005,-0.046000917,-0.340142308
72,-0.032766263,0.535665788,-0.469437065
73,-0.247463038,-1.336476659,-0.938805422
74,-0.126013641,-0.984577762,0.07471897
75,-0.021780575,-0.418923535,-0.506510164
76,-0.167714053,1.463511918,1.181333037
77,-0.080049674,-0.510309083,-1.05246911
78,-0.140080965,-0.041751591,0.793588359
79,-0.151350781,-1.064238103,-0.930418533
80,0.103862663,0.200319576,-0.381574101
81,-0.243963966,1.918741245,3.63198366
82,-0.133289949,-0.278275508,1.696478655
83,-0.171079296,-0.079083761,-1.437630207
84,-0.160170533,-0.507292385,0.336953725
85,0.097445221,-0.674461007,-0.946679646
86,-0.213228852,0.056314058,-0.514131746
87,-0.133289949,-0.278275508,1.696478655
88,-0.123062644,-0.390168718,2.28859395
89,-0.134498796,-0.205603189,0.053564175
90,-0.127839119,-0.852311248,0.336636468
91,-0.1673158,-0.56524149,1.105244162
92,-0.14796207,-0.053746709,0.926680859
93,-0.134880162,-0.757782708,0.734958065
94,-0.155153977,-0.853115148,-1.292711779
95,-0.07764728,-0.947946397,-0.222527373
96,0.044702545,-1.190821408,0.367032086
97,-0.156100176,-1.106406014,-0.228937935
98,-0.220501466,0.021766309,0.304203194
99,-0.007861374,0.191805916,0.935528878
100,-0.213222489,0.015993113,1.462575853
101,-0.0667962,-0.180020899,0.525831729
102,-0.21443328,-0.528765878,-0.326179195
103,-0.123047934,-1.42845189,-2.457205766
104,-0.238108174,-0.880595223,0.839477228
105,-0.129047937,1.38296135,1.38012617
106,0.155643487,0.257548242,-0.408371906
107,-0.167254391,-0.843283721,-0.629739893
108,-0.188069387,-0.143541552,0.582330997
109,-0.166099112,0.331785969,0.147740361
110,-0.086081558,-0.497931145,0.614426011
111,-0.180636225,-0.221380981,1.360515831
112,-0.148426027,-0.138264163,1.475949945
113,-0.185230248,-0.061165146,0.425578551
114,-0.202321896,0.014072422,0.595236379
115,-0.179146848,-0.813160361,-3.090875542
