index,feature10,feature11,feature12
0,-0.238236651,-0.029496107,-0.118476706
1,-0.238236651,-0.029496107,-0.118476706
2,-1.272354797,-0.619812261,-0.743489787
3,-0.000121951,-0.102969745,0.287531661
4,-0.238236651,-0.029496107,-0.118476706
5,3.221194595,-1.114073518,-0.903911742
6,0.203260576,-0.284756445,0.560215499
7,0.263102814,-0.514635969,-1.172900301
8,0.079358532,-0.637401808,0.254292311
9,-0.238236651,-0.029496107,-0.118476706
10,-0.238236651,-0.029496107,-0.118476706
11,-0.238236651,-0.029496107,-0.118476706
12,-0.238236651,-0.029496107,-0.118476706
13,-1.134457893,-0.308133109,-2.290106781
14,-0.238236651,-0.029496107,-0.118476706
15,-0.377086748,-0.137377648,0.134472395
16,-0.238236651,-0.029496107,-0.118476706
17,-0.773065841,-0.207219757,0.096174566
18,-0.238236651,-0.029496107,-0.118476706
19,-0.512977553,-0.15917363,-0.848036856
20,-0.238236651,-0.029496107,-0.118476706
21,-0.083267163,-0.242942246,-0.025890496
22,-0.238236651,-0.029496107,-0.118476706
23,0.614947591,-0.764340815,-0.102916161
24,-0.168789198,-0.278802008,0.117950873
25,-0.238236651,-0.029496107,-0.118476706
26,-0.238236651,-0.029496107,-0.118476706
27,-0.238236651,-0.029496107,-0.118476706
28,-0.489521786,-0.054124945,0.016574332
29,-0.238236651,-0.029496107,-0.118476706
30,-0.238236651,-0.029496107,-0.118476706
31,-0.238236651,-0.029496107,-0.118476706
32,-0.238236651,-0.029496107,-0.118476706
33,-0.238236651,-0.029496107,-0.118476706
34,-0.238236651,-0.029496107,-0.118476706
35,-0.168789198,-0.278802008,0.117950873
36,-0.238236651,-0.029496107,-0.118476706
37,0.048605211,-0.359666447,0.350398714
38,-0.238236651,-0.029496107,-0.118476706
39,-0.307985497,0.161458792,-1.134210966
40,-0.238236651,-0.029496107,-0.118476706
41,-0.238236651,-0.029496107,-0.118476706
42,-0.238236651,-0.029496107,-0.118476706
43,-0.238236651,-0.029496107,-0.118476706
44,-0.238236651,-0.029496107,-0.118476706
45,-0.238236651,-0.029496107,-0.118476706
46,-0.238236651,-0.029496107,-0.118476706
47,-0.238236651,-0.029496107,-0.118476706
48,-0.238236651,-0.029496107,-0.118476706
49,0.057891622,-0.010762956,-0.840406007
50,-0.42448592,-0.067343637,1.931890099
51,-0.238236651,-0.029496107,-0.118476706
52,-0.238236651,-0.029496107,-0.118476706
53,-0.773065841,-0.207219757,0.096174566
54,7.053739923,-1.431572247,-1.669269534
55,6.428952182,-1.636064568,-2.200481984
56,3.407751636,-0.730534177,-0.89387312
57,-0.238236651,-0.029496107,-0.118476706
58,-0.458250237,-0.267630033,-0.12828701
59,-0.238236651,-0.029496107,-0.118476706
60,-0.315328848,-0.19137103,4.373525488
61,-0.238236651,-0.029496107,-0.118476706
62,-0.238236651,-0.029496107,-0.118476706
63,-0.238236651,-0.029496107,-0.118476706
64,-0.228172083,-0.381529834,0.259106873
65,4.594656069,-0.707824767,-1.267999139
66,-0.238236651,-0.029496107,-0.118476706
67,-0.238236651,-0.029496107,-0.118476706
68,-0.489521786,-0.054124945,0.016574332
69,-0.315328848,-0.19137103,4.373525488
70,-0.000121951,-0.102969745,0.287531661
71,-0.238236651,-0.029496107,-0.118476706
72,-0.238236651,-0.029496107,-0.118476706
73,-0.514653157,-0.412486373,-0.328566337
74,-0.238236651,-0.029496107,-0.118476706
75,-0.238236651,-0.029496107,-0.118476706
76,2.64012111,1.659271094,0.12017481
77,-0.238236651,-0.029496107,-0.118476706
